timeAt,seconds
2023-01-14T21:23:32.932Z,2.449
2023-01-14T21:23:34.243Z,1.324
2023-01-14T21:23:35.557Z,1.329
2023-01-14T21:23:36.876Z,1.33
2023-01-14T21:23:38.180Z,1.316
2023-01-14T21:23:39.487Z,1.315
2023-01-14T21:23:40.803Z,1.329
2023-01-14T21:23:42.118Z,1.329
2023-01-14T21:23:43.432Z,1.328
2023-01-14T21:23:44.749Z,1.329
2023-01-14T21:23:46.059Z,1.322
2023-01-14T21:23:47.375Z,1.328
2023-01-14T21:23:48.685Z,1.325
2023-01-14T21:23:49.993Z,1.317
2023-01-14T21:23:51.302Z,1.32
2023-01-14T21:23:52.609Z,1.317
2023-01-14T21:23:53.918Z,1.32
2023-01-14T21:23:55.095Z,1.187
2023-01-14T21:23:56.411Z,1.326
2023-01-14T21:23:57.585Z,1.186
2023-01-14T21:23:58.917Z,1.341
2023-01-14T21:24:00.234Z,1.337
2023-01-14T21:24:01.546Z,1.322
2023-01-14T21:24:02.859Z,1.323
2023-01-14T21:24:04.175Z,1.327
2023-01-14T21:24:05.486Z,1.323
2023-01-14T21:24:06.804Z,1.33
2023-01-14T21:24:07.980Z,1.187
2023-01-14T21:24:09.294Z,1.322
2023-01-14T21:24:10.464Z,1.182
2023-01-14T21:24:11.644Z,1.191
2023-01-14T21:24:12.960Z,1.328
2023-01-14T21:24:14.270Z,1.323
2023-01-14T21:24:15.579Z,1.321
2023-01-14T21:24:16.901Z,1.334
2023-01-14T21:24:18.218Z,1.327
2023-01-14T21:24:19.523Z,1.314
2023-01-14T21:24:20.838Z,1.325
2023-01-14T21:24:22.145Z,1.318
2023-01-14T21:24:23.455Z,1.32
2023-01-14T21:24:24.767Z,1.324
2023-01-14T21:24:26.086Z,1.33
2023-01-14T21:24:27.392Z,1.317
2023-01-14T21:24:28.698Z,1.316
2023-01-14T21:24:30.012Z,1.326
2023-01-14T21:24:31.325Z,1.323
2023-01-14T21:24:32.643Z,1.329
2023-01-14T21:24:33.954Z,1.322
2023-01-14T21:24:35.269Z,1.325
2023-01-14T21:24:36.580Z,1.322
2023-01-14T21:24:37.893Z,1.325
2023-01-14T21:24:39.201Z,1.318
2023-01-14T21:24:40.511Z,1.322
2023-01-14T21:24:41.824Z,1.324
2023-01-14T21:24:43.138Z,1.325
2023-01-14T21:24:44.449Z,1.323
2023-01-14T21:24:45.760Z,1.322
2023-01-14T21:24:47.071Z,1.323
2023-01-14T21:24:48.381Z,1.32
2023-01-14T21:24:49.698Z,1.328
2023-01-14T21:24:51.012Z,1.327
2023-01-14T21:24:52.327Z,1.325
2023-01-14T21:24:53.636Z,1.322
2023-01-14T21:24:54.949Z,1.325
2023-01-14T21:24:56.261Z,1.321
2023-01-14T21:24:57.572Z,1.322
2023-01-14T21:24:58.885Z,1.324
2023-01-14T21:25:00.192Z,1.319
2023-01-14T21:25:01.509Z,1.328
2023-01-14T21:25:02.825Z,1.329
2023-01-14T21:25:04.138Z,1.324
2023-01-14T21:25:05.454Z,1.329
2023-01-14T21:25:06.761Z,1.321
2023-01-14T21:25:08.078Z,1.327
2023-01-14T21:25:09.390Z,1.325
2023-01-14T21:25:10.700Z,1.319
2023-01-14T21:25:12.014Z,1.327
2023-01-14T21:25:13.323Z,1.32
2023-01-14T21:25:14.641Z,1.33
2023-01-14T21:25:15.953Z,1.325
2023-01-14T21:25:17.259Z,1.317
2023-01-14T21:25:18.564Z,1.315
2023-01-14T21:25:19.882Z,1.329
2023-01-14T21:25:21.193Z,1.324
2023-01-14T21:25:22.502Z,1.322
2023-01-14T21:25:23.808Z,1.317
2023-01-14T21:25:25.119Z,1.32
2023-01-14T21:25:26.432Z,1.325
2023-01-14T21:25:27.742Z,1.32
2023-01-14T21:25:29.053Z,1.323
2023-01-14T21:25:30.359Z,1.318
2023-01-14T21:25:31.670Z,1.325
2023-01-14T21:25:32.981Z,1.324
2023-01-14T21:25:34.299Z,1.329
2023-01-14T21:25:35.613Z,1.327
2023-01-14T21:25:36.920Z,1.318
2023-01-14T21:25:38.227Z,1.319
2023-01-14T21:25:39.535Z,1.32
2023-01-14T21:25:40.842Z,1.319
2023-01-14T21:25:42.148Z,1.315
2023-01-14T21:25:43.453Z,1.317
2023-01-14T21:25:44.759Z,1.317
2023-01-14T21:25:46.073Z,1.323
2023-01-14T21:25:47.389Z,1.329
2023-01-14T21:25:48.711Z,1.33
2023-01-14T21:25:50.025Z,1.326
2023-01-14T21:25:51.335Z,1.322
2023-01-14T21:25:52.647Z,1.325
2023-01-14T21:25:53.963Z,1.326
2023-01-14T21:25:55.274Z,1.321
2023-01-14T21:25:56.582Z,1.32
2023-01-14T21:25:57.887Z,1.315
2023-01-14T21:25:59.193Z,1.314
2023-01-14T21:26:00.504Z,1.323
2023-01-14T21:26:01.813Z,1.32
2023-01-14T21:26:03.123Z,1.32
2023-01-14T21:26:04.435Z,1.325
2023-01-14T21:26:05.755Z,1.329
2023-01-14T21:26:07.063Z,1.318
2023-01-14T21:26:08.372Z,1.316
2023-01-14T21:26:09.682Z,1.323
2023-01-14T21:26:10.991Z,1.319
2023-01-14T21:26:12.303Z,1.325
2023-01-14T21:26:13.613Z,1.319
2023-01-14T21:26:14.926Z,1.323
2023-01-14T21:26:16.239Z,1.321
2023-01-14T21:26:17.553Z,1.325
2023-01-14T21:26:18.873Z,1.33
2023-01-14T21:26:20.185Z,1.322
2023-01-14T21:26:21.504Z,1.332
2023-01-14T21:26:22.824Z,1.33
2023-01-14T21:26:24.137Z,1.327
2023-01-14T21:26:25.448Z,1.322
2023-01-14T21:26:26.759Z,1.322
2023-01-14T21:26:28.073Z,1.323
2023-01-14T21:26:29.384Z,1.323
2023-01-14T21:26:30.697Z,1.324
2023-01-14T21:26:32.025Z,1.341
2023-01-14T21:26:33.345Z,1.341
2023-01-14T21:26:34.657Z,1.323
2023-01-14T21:26:35.974Z,1.33
2023-01-14T21:26:37.289Z,1.323
2023-01-14T21:26:38.599Z,1.321
2023-01-14T21:26:39.906Z,1.318
2023-01-14T21:26:41.218Z,1.324
2023-01-14T21:26:42.535Z,1.327
2023-01-14T21:26:43.841Z,1.318
2023-01-14T21:26:45.022Z,1.189
2023-01-14T21:26:46.345Z,1.338
2023-01-14T21:26:47.661Z,1.327
2023-01-14T21:26:48.968Z,1.321
2023-01-14T21:26:50.282Z,1.324
2023-01-14T21:26:51.590Z,1.321
2023-01-14T21:26:52.901Z,1.321
2023-01-14T21:26:54.212Z,1.324
2023-01-14T21:26:55.529Z,1.327
2023-01-14T21:26:56.836Z,1.32
2023-01-14T21:26:58.153Z,1.328
2023-01-14T21:26:59.463Z,1.322
2023-01-14T21:27:00.770Z,1.319
2023-01-14T21:27:02.082Z,1.324
2023-01-14T21:27:03.394Z,1.324
2023-01-14T21:27:04.702Z,1.319
2023-01-14T21:27:06.017Z,1.328
2023-01-14T21:27:07.328Z,1.323
2023-01-14T21:27:08.639Z,1.324
2023-01-14T21:27:09.955Z,1.328
2023-01-14T21:27:11.271Z,1.327
2023-01-14T21:27:12.585Z,1.329
2023-01-14T21:27:13.902Z,1.329
2023-01-14T21:27:15.211Z,1.322
2023-01-14T21:27:16.516Z,1.316
2023-01-14T21:27:17.827Z,1.322
2023-01-14T21:27:19.141Z,1.329
2023-01-14T21:27:20.451Z,1.319
2023-01-14T21:27:21.762Z,1.325
2023-01-14T21:27:23.077Z,1.326
2023-01-14T21:27:24.383Z,1.319
2023-01-14T21:27:25.690Z,1.316
2023-01-14T21:27:26.999Z,1.321
2023-01-14T21:27:28.304Z,1.317
2023-01-14T21:27:29.611Z,1.317
2023-01-14T21:27:30.918Z,1.32
2023-01-14T21:27:32.232Z,1.324
2023-01-14T21:27:33.549Z,1.33
2023-01-14T21:27:34.868Z,1.332
2023-01-14T21:27:36.185Z,1.331
2023-01-14T21:27:37.494Z,1.322
2023-01-14T21:27:38.799Z,1.318
2023-01-14T21:27:40.109Z,1.319
2023-01-14T21:27:41.420Z,1.324
2023-01-14T21:27:42.730Z,1.319
2023-01-14T21:27:44.048Z,1.33
2023-01-14T21:27:45.361Z,1.32
2023-01-14T21:27:46.671Z,1.324
2023-01-14T21:27:47.982Z,1.323
2023-01-14T21:27:49.298Z,1.328
2023-01-14T21:27:50.618Z,1.331
2023-01-14T21:27:51.930Z,1.324
2023-01-14T21:27:53.242Z,1.323
2023-01-14T21:27:54.554Z,1.324
2023-01-14T21:27:55.864Z,1.322
2023-01-14T21:27:57.183Z,1.332
2023-01-14T21:27:58.495Z,1.324
2023-01-14T21:27:59.815Z,1.332
2023-01-14T21:28:01.124Z,1.321
2023-01-14T21:28:02.426Z,1.314
2023-01-14T21:28:03.741Z,1.325
2023-01-14T21:28:05.053Z,1.325
2023-01-14T21:28:06.363Z,1.322
2023-01-14T21:28:07.675Z,1.324
2023-01-14T21:28:08.986Z,1.324
2023-01-14T21:28:10.296Z,1.32
2023-01-14T21:28:11.607Z,1.323
2023-01-14T21:28:12.921Z,1.324
2023-01-14T21:28:14.232Z,1.325
2023-01-14T21:28:15.551Z,1.329
2023-01-14T21:28:16.862Z,1.324
2023-01-14T21:28:18.170Z,1.317
2023-01-14T21:28:19.485Z,1.325
2023-01-14T21:28:20.805Z,1.329
2023-01-14T21:28:22.117Z,1.324
2023-01-14T21:28:23.431Z,1.327
